food_code,food_name,energy_kcal,protein_g,carb_g,fat_g,fibre_g,freesugar_g,sodium_mg
ASC001,Hot tea (Garam Chai),16.144,0.388,2.582,0.532,0.0,2.576,3.119
ASC002,Instant coffee,23.156,0.641,3.653,0.747,0.0,3.615,4.917
ASC003,Espreso coffee,51.543,1.747,6.621,2.138,0.0,6.534,13.978
ASC004,Iced tea,10.342,0.028,2.702,0.011,0.0,2.702,0.234
ASC005,Raw mango drink (Aam panna),35.918,0.157,9.047,0.026,0.612,7.491,79.825
ASC006,Fruit Punch (with fresh juices),36.117,0.139,9.381,0.033,0.06,9.246,2.632
ASC007,Fruit Punch (with squashes),23.128,0.072,5.99,0.017,0.168,5.883,2.257
ASC008,Lemonade,20.799,0.035,5.479,0.01,0.017,5.472,28.524
ASC009,Lem-o-gin,21.517,0.081,5.552,0.028,0.129,5.384,28.135
ASC010,Cumin infused water (Jeere/Zeere ka pani),9.09,0.17,1.864,0.11,0.464,1.462,189.595
ASC011,Coco pine cooler,32.749,0.555,5.718,1.0,0.257,5.523,23.196
ASC012,Summer cooler,22.429,0.374,5.432,0.035,0.197,5.212,1.573
ASC014,Hot cocoa,90.1,3.363,9.234,4.563,0.0,9.006,24.203
ASC015,Cold coffee with ice cream,67.849,1.57,11.245,2.109,0.008,11.18,13.845
ASC016,Banana milkshake (Kele milkshake),65.306,1.843,9.146,2.371,0.256,7.956,13.609
ASC017,Mango milkshake (Aam milkshake),56.901,1.727,7.232,2.346,0.264,7.149,13.274
ASC018,Pineapple milkshake (Ananas milkshake),55.718,1.659,7.625,2.229,0.0,7.6,14.054
ASC019,Orange milkshake (Narangi milkshake),57.415,1.865,7.107,2.524,0.0,7.079,14.625
ASC020,Egg nog,97.141,4.776,8.145,5.11,0.02,8.062,40.648
ASC021,Sweet Lassi (Meethi lassi),35.661,1.288,6.508,0.678,0.0,6.508,18.305
ASC022,Lassi (salted),18.845,1.355,1.856,0.719,0.018,1.844,65.402
ASC023,Cheese and chilli sandwich ,218.115,6.796,27.401,9.78,2.079,2.38,437.501
ASC024,Egg sandwich (Ande ka sandwich),285.957,8.695,29.157,15.798,1.878,1.864,461.67
ASC025,Cucumber sandwich (Kheere ka sandwich),188.598,4.798,25.765,7.998,2.449,1.643,362.642
ASC026,Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),257.714,8.197,29.102,12.797,2.33,4.102,571.956
ASC027,Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),243.32,7.919,26.922,12.274,1.975,2.847,549.708
ASC028,Chicken sandwich,253.273,13.124,25.377,11.749,1.636,1.598,389.666
ASC029,Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),291.427,9.529,28.545,16.138,4.029,2.816,364.99
ASC030,Rainbow sandwich,272.751,7.747,34.264,12.54,2.103,4.045,612.486
ASC031,Club sandwich ,235.324,7.31,18.508,15.122,1.808,2.013,461.66
ASC032,Vegetarian club sandwich,198.329,5.451,19.684,11.329,2.057,2.08,305.363
ASC033,Pin wheel sandwich,311.521,8.767,14.004,24.935,0.929,1.454,374.391
ASC034,Carrot apple sandwich (Gajar aur seb ka sandwich),214.112,5.297,29.045,9.124,3.656,5.295,302.883
ASC035,Salami sandwich,255.594,8.696,21.538,15.51,1.97,1.996,662.746
ASC036,Vegetable and mayonnaise sandwich,244.262,4.474,23.201,15.398,2.351,2.349,342.696
ASC037,Egg and tomato sandwich (Ande aur tamatar ka sandwich),222.106,7.656,25.903,10.509,1.767,2.092,423.259
ASC038,Sweet open sandwich,244.246,4.985,39.244,8.154,2.357,12.231,205.271
ASC039,Mushroom and cheese sandwich (toasted),227.419,7.786,21.013,13.008,2.284,2.107,456.571
ASC040,Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),224.58,6.822,21.416,12.952,1.779,2.674,457.938
ASC041,Pea potato sandwich (toasted) (Matar aloo ka sandwich),164.901,4.605,25.168,5.427,2.886,1.333,262.628
ASC042,Paneer pea sandwich (toasted) (Paneer matar ka sandwich),249.556,12.4,24.052,11.976,2.116,6.396,268.898
ASC043,Chicken sandwich (toasted),167.368,12.081,18.819,5.316,1.642,2.134,327.549
ASC044,Pea keema sandwich (toasted) (Matar aur keema ka sandwich),171.775,11.055,20.256,5.611,2.453,1.943,290.072
ASC045,Classic club sandwich,200.831,6.736,18.492,11.563,1.624,1.857,277.492
ASC046,Sesame toast,495.186,1.899,11.147,49.378,1.319,1.463,128.775
ASC047,Cracked wheat porridge (Meetha daliya),81.565,2.643,8.871,4.081,0.62,5.118,15.893
ASC048,Semolina porridge (Suji/Rava daliya),100.894,3.75,12.387,4.082,0.699,7.538,23.206
ASC050,Oatmeal Porridge,72.854,2.595,8.766,3.221,0.392,5.197,16.143
ASC051,Cornflakes with milk,117.327,3.591,14.948,5.119,0.777,9.973,26.548
ASC052,Rice flakes (Chiwda/Aval),112.44,3.617,15.569,3.991,0.373,7.28,22.402
ASC053,Wheat flakes,112.44,3.617,15.569,3.991,0.373,7.28,22.402
ASC054,Murmura (Puffed rice),113.317,3.621,15.669,4.042,0.276,7.312,22.522
ASC055,Puffed wheat (Murmure/Moori),113.317,3.621,15.669,4.042,0.276,7.312,22.522
ASC056,Boiled egg (Ubla anda),45.355,4.431,0.12,3.039,0.11,0.001,170.941
ASC057,Fried Egg ,223.667,11.585,0.314,19.622,0.287,0.003,446.962
ASC058,Poached egg,123.867,11.976,0.366,8.194,0.296,0.046,1163.072
ASC059,Scrambled egg (Ande ki bhurji),155.971,10.291,1.352,12.212,0.237,1.084,374.656
ASC060,Baked egg ,218.847,11.882,15.417,12.652,1.026,1.665,523.288
ASC061,Plain omelette/omlet,272.411,9.664,0.645,25.74,0.116,0.514,226.181
ASC062,Stuffed egg omelette/omlet,203.515,8.603,2.302,17.775,0.75,1.568,267.187
ASC063,Pancake,203.356,5.682,20.49,10.817,0.653,3.315,143.698
ASC064,Keema pancake,176.275,9.007,9.559,11.246,0.841,2.197,125.4
ASC065,Vegetable pancake,125.176,3.866,12.235,6.573,2.477,2.085,116.694
ASC066,Jam and fruit pancake,162.018,3.792,20.728,7.008,1.209,7.847,93.085
ASC067,Khoa and coconut pancake,271.981,6.98,27.323,15.294,1.652,16.471,101.004
ASC068,Brown stock,21.325,1.948,0.252,1.384,0.094,0.14,44.598
ASC069,Vegetable stock,17.604,0.3,0.96,1.378,0.382,0.443,49.749
ASC070,Chicken stock,29.88,3.686,0.368,1.51,0.104,0.196,58.58
ASC079,Clear tomato soup (Tamatar ka soup),80.074,4.793,3.451,12.225,1.964,1.437,5135.742
ASC080,Lentil soup,31.166,9.653,3.945,11.679,2.574,1.055,10418.843
ASC081,Chicken consomme (Clear chicken soup),47.945,11.471,1.185,12.019,1.568,0.541,8953.637
ASC082,Cream of tomato soup,97.812,4.61,3.928,13.115,1.375,1.807,4461.223
ASC083,Cream of green peas soup,127.841,7.127,6.751,14.781,2.951,1.61,4999.696
ASC084,Cream of spinach soup,100.538,5.214,3.446,13.31,1.741,1.131,4429.808
ASC085,Cream of mixed vegetable soup,59.646,6.845,4.931,9.049,2.143,2.098,5655.45
ASC086,Cream of mushroom soup,117.278,6.64,3.742,15.501,1.336,1.931,5276.06
ASC087,Chicken sweet corn soup,28.32,14.475,1.633,12.593,0.466,0.265,12205.335
ASC088,Minestrone soup,42.659,9.304,3.715,11.087,1.923,1.015,8875.064
ASC089,Egg drop soup,26.637,12.93,1.101,13.516,0.811,0.605,12418.844
ASC090,Chinese cabbage and meat ball soup,484.305,5.211,1.429,56.572,0.566,0.373,4249.406
ASC091,French onion soup,55.61,11.408,4.275,14.392,1.013,1.502,11202.888
ASC092,Hot and sour soup,31.514,3.116,1.776,1.312,0.601,0.656,163.256
ASC093,Talaumein soup,35.627,10.122,4.171,12.785,1.939,0.768,11088.138
ASC094,Cold cucumber soup (Thanda kheere ka soup),48.03,2.988,4.581,1.991,0.878,3.345,121.315
ASC095,Cold summer garden soup,49.186,8.571,2.646,14.081,1.857,0.461,9919.625
ASC096,Chapati/Roti,202.311,5.875,35.65,3.561,6.311,1.0,1.161
ASC097,Plain parantha/paratha,298.301,5.056,30.692,16.858,5.433,0.861,62.066
ASC098,Potato parantha/paratha (Aloo ka parantha/paratha),205.042,3.698,23.92,10.22,4.175,1.152,127.203
ASC099,Radish parantha/paratha (Mooli ka parantha/paratha),183.524,3.298,20.542,9.528,4.324,1.307,127.027
ASC100,Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),178.07,3.726,18.837,9.465,4.681,1.148,190.031
ASC101,Dal parantha/paratha,268.244,6.776,30.032,13.054,6.463,1.426,156.132
ASC102,Sprouted moong parantha/paratha,228.594,4.292,24.306,12.426,4.488,1.474,153.938
ASC103,Pea parantha/paratha (Matar ka parantha/paratha),190.731,5.595,21.513,8.799,5.607,1.287,109.991
ASC104,Keema parantha/paratha,238.086,9.406,18.356,13.91,3.441,0.99,140.623
ASC105,Paneer parantha/paratha,262.966,7.984,24.326,14.621,4.0,3.771,142.516
ASC106,Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),216.492,5.545,21.389,12.087,4.394,1.312,177.188
ASC107,Poori,737.635,1.355,8.22,77.606,1.455,0.231,31.733
ASC108,Spinach poori (Palak poori),684.254,1.422,7.757,71.858,1.548,0.236,35.474
ASC109,Methi poori,710.02,1.453,7.981,74.604,1.613,0.261,35.373
ASC110,Dal stuffed poori,785.163,2.075,10.137,81.685,1.964,0.294,128.18
ASC111,Potato stuffed poori (Aloo ki poori),776.738,1.521,9.401,81.353,1.64,0.264,69.864
ASC112,Tandoori parantha/paratha,295.37,5.08,30.74,16.513,5.442,0.862,1.139
ASC113,Boiled rice (Uble chawal),117.19,2.603,25.72,0.183,1.247,0.223,1.053
ASC114,Plain pulao,140.208,2.339,21.816,4.622,1.685,1.145,193.761
ASC115,Mixed vegetable pulao,113.049,2.723,17.49,3.328,2.667,1.352,187.92
ASC116,Mushroom pulao,124.286,2.523,19.018,4.029,1.882,0.998,222.364
ASC117,Sprouted moong pulao,112.971,2.188,17.491,3.608,1.785,1.432,153.164
ASC118,Paneer pulao,581.912,1.985,8.757,59.809,0.619,1.111,72.277
ASC119,Peanut pulao ,193.275,5.316,21.181,9.513,2.9,1.603,168.398
ASC120,Navratan pulao,261.708,6.198,36.979,9.453,3.817,2.519,334.257
ASC121,Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),173.428,4.876,27.57,4.82,3.154,2.48,170.045
ASC122,Mutton biryani/biriyani,190.763,7.376,22.495,7.724,2.415,2.39,262.642
ASC123,Vegetable biryani/biriyani,174.605,3.161,18.557,9.508,3.309,2.142,183.79
ASC124,"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",176.303,4.256,21.622,7.88,2.522,0.778,187.109
ASC125,Sweet rice (Meethe chawal),215.413,2.096,42.592,4.566,1.131,24.805,3.199
ASC126,Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),195.737,5.753,32.93,4.317,2.134,3.915,213.29
ASC127,Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),373.039,7.453,65.081,8.533,5.118,11.649,162.413
ASC128,Spanish rice,164.241,4.19,31.098,2.233,2.778,1.26,96.608
ASC129,Chinese fried rice,120.584,4.052,13.402,5.435,2.313,1.472,248.361
ASC133,Macroni cheese pie,170.628,5.851,21.095,7.484,0.399,3.403,200.512
ASC134,Vegetable chowmein,129.714,3.067,15.444,6.359,1.863,1.968,258.47
ASC135,Chicken chowmein,151.334,6.331,13.301,8.235,1.645,1.631,288.151
ASC136,Cheese noodle ring,133.669,6.224,13.955,6.117,1.269,2.843,241.959
ASC137,Spaghetti and cheese balls in tomato sauce,508.322,2.409,7.815,52.08,0.593,1.835,104.136
ASC138,Penne platter,177.401,5.041,20.872,8.71,1.092,4.502,283.37
ASC139,Pasta hot pot,125.173,5.838,11.602,6.466,0.804,5.993,231.165
ASC140,Chicken lasagne,187.492,10.452,13.902,10.361,0.106,2.742,238.552
ASC141,Fettuccine with spinach sauce,129.207,3.104,12.189,7.828,0.773,1.183,153.591
ASC142,Naan,286.45,8.052,51.754,4.988,1.909,5.586,326.109
ASC143,Bhatura,793.203,1.63,10.734,82.564,0.379,0.694,28.301
ASC144,Idli,137.535,4.637,28.178,0.333,2.309,0.284,100.834
ASC146,Masala dosa,164.585,3.288,19.567,7.84,2.523,1.327,191.278
ASC147,Semolina dosa (Suji/Rava dosa),227.052,7.3,32.841,7.117,4.044,4.374,202.36
ASC148,Onion tomato uttapam,462.019,1.906,11.316,45.303,1.262,0.797,143.527
ASC149,Paneer kaathi roll,285.942,6.916,20.103,19.554,2.404,3.294,221.031
ASC150,Makki ki roti,263.968,3.492,24.192,16.849,5.192,0.698,236.22
ASC151,Washed moong dal (Dhuli moong ki dal),50.003,2.678,5.907,1.681,1.171,0.121,150.64
ASC152,Washed urad dal (Dhuli urad ki dal),61.324,2.511,5.841,2.98,1.529,0.322,142.212
ASC153,Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),73.254,2.79,7.101,3.603,2.721,1.046,149.468
ASC154,Dry washed urad,124.712,6.85,15.662,3.497,4.058,0.728,295.793
ASC155,Mixed dal,61.928,2.506,5.793,3.104,1.616,0.339,141.365
ASC156,Whole moong (Moong ki dal),53.699,2.249,5.219,2.564,2.017,0.586,123.863
ASC157,Whole masoor (Masoor ki dal),54.055,2.279,5.375,2.518,1.984,0.67,123.722
ASC158,Whole moth (Moth ki dal),54.997,2.006,5.741,2.619,1.849,0.658,125.078
ASC159,Whole urad (Urad ki dal),53.795,2.213,5.047,2.624,2.319,0.567,126.119
ASC160,Moti mahal dal (Urad rajmah mix dal),103.128,3.93,8.738,5.656,3.38,1.705,157.614
ASC161,Black channa curry/Bengal gram curry (Kale chane ki curry),140.677,5.666,14.114,6.61,7.989,2.355,358.631
ASC162,Chickpeas curry (Safed channa curry),163.432,6.099,19.978,6.843,4.732,4.785,357.99
ASC163,Lobia curry,148.987,6.064,17.882,5.619,4.567,2.508,355.409
ASC164,Soyabean curry,163.277,10.427,6.76,10.19,7.341,2.658,352.694
ASC165,Kidney bean curry (Rajmah curry),143.726,5.951,16.378,5.775,5.825,2.488,354.601
ASC167,Sambar,96.918,3.35,10.568,4.383,3.522,3.308,159.538
ASC168,Besan kadhi with pakodies,403.349,1.644,3.564,42.588,0.812,0.878,60.805
ASC169,Khatta channa,202.566,6.296,21.141,10.56,5.26,4.749,513.321
ASC170,Sprouted moong dal chat,32.474,1.35,6.005,0.322,1.345,1.567,87.072
ASC171,Potato cauliflower (Aloo gobhi),106.177,1.898,5.991,8.126,3.018,0.436,254.758
ASC172,Potato capsicum (Shimla mirch aloo),125.53,1.41,8.717,9.332,2.025,0.535,277.921
ASC173,Cabbage and peas (Pattagobhi aur matar),63.883,3.239,6.235,2.645,3.986,0.966,253.735
ASC174,Carrot and fenugreek leaves (Gajar methi),61.917,2.095,4.171,3.807,4.429,2.108,262.913
ASC175,Potato fenugreek (Aloo methi),135.147,2.246,8.468,10.041,2.927,0.544,221.927
ASC177,Brinjal bhartha (Baingan ka bhartha),65.116,1.38,4.397,4.481,3.274,1.816,132.152
ASC178,Dry potato (Sookhe aloo),103.146,1.62,14.378,4.182,1.877,0.329,199.994
ASC179,Beans with coconut (Nariyal aur sem/phali; Beans thoran),131.631,2.619,4.394,11.394,5.585,2.063,271.653
ASC180,Cauliflower with coconut (Nariyal ke saath phoolgobhi),132.111,2.639,3.992,11.561,5.271,1.708,286.058
ASC181,Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),106.613,1.82,4.994,8.621,4.521,2.355,219.603
ASC182,Raw turnip with coconut ,132.148,1.803,5.778,11.467,2.79,4.403,275.545
ASC183,Raw papaya with coconut (Papaya thoran),132.75,1.535,5.577,11.42,4.314,3.821,270.563
ASC184,Stuffed okra (Bharwa bhindi),94.34,2.08,3.854,7.655,4.146,0.481,210.034
ASC185,Stuffed round gourd (Bharwa tinde),72.797,1.103,4.021,5.747,2.104,1.96,180.147
ASC186,Stuffed capsicum (Bharwa shimla mirch),90.94,1.337,8.256,5.704,2.011,1.213,173.939
ASC187,Stuffed brinjal (Bharwa baingan),92.998,1.533,3.958,7.728,4.092,0.922,212.883
ASC189,Stuffed tomatoes (Bharwa tamatar),93.348,3.282,6.19,6.06,2.198,2.676,165.853
ASC190,Pea potato curry (Aloo matar),100.923,3.483,9.739,5.127,3.608,1.864,154.833
ASC191,Pea paneer curry (Matar paneer),134.834,6.605,9.292,7.75,3.3,3.893,157.344
ASC192,Pea mushroom curry (Matar mushroom),93.296,3.869,7.411,5.161,3.86,1.825,155.484
ASC193,Pea curry (Matar ki sabzi),102.991,4.512,9.196,5.109,4.439,1.982,154.752
ASC194,Pea vadi curry,101.947,4.637,8.901,5.077,4.285,1.923,149.505
ASC195,Paneer curry,176.517,7.801,8.398,12.385,1.399,6.286,216.089
ASC196,Lotus stem curry (Kamal kakdi curry),110.338,1.529,9.236,7.251,3.141,2.086,217.049
ASC197,Gravy for kofta,125.586,1.748,6.307,10.35,1.957,3.728,312.862
ASC198,Pea kofta curry (Matar kofta curry),595.665,2.01,4.168,63.392,1.704,0.883,83.067
ASC199,Spinach kofta curry (Palak kofta curry),571.776,1.086,3.565,61.492,0.924,0.819,104.508
ASC200,Paneer kofta curry,670.911,2.385,3.269,72.063,0.401,1.981,121.715
ASC201,Lotus stem kofta curry (Kamal kakdi kofta curry),633.564,0.957,5.015,67.764,1.013,0.878,108.615
ASC202,Raw banana kofta curry (Kela kofta curry),627.271,0.622,3.404,67.979,0.591,2.301,88.396
ASC203,Cauliflower kofta curry (Phoolgobhi kofta curry),641.1,1.037,2.617,69.623,0.997,0.829,93.65
ASC204,Cabbage kofta curry (Pattagobhi kofta curry),639.813,0.976,2.874,69.4,0.902,0.891,92.853
ASC205,Ghiya/Lauki Kofta Curry,638.707,0.888,2.709,69.401,0.835,0.823,91.432
ASC206,Spinach paneer kofta curry (Palak paneer kofta curry),606.025,1.427,2.943,65.408,0.746,1.161,99.371
ASC207,Vegetarian egg kofta curry,627.406,1.327,4.261,67.242,0.637,1.19,95.893
ASC208,Baked vegetables,88.987,3.67,8.437,4.437,2.336,2.562,124.7
ASC209,Cauliflower musallam (Phoolgobhi musallam),58.827,1.892,4.484,3.547,3.058,1.707,123.357
ASC210,Baked vegetables with spinach ,77.794,3.218,6.929,4.028,2.326,2.088,122.848
ASC211,Baked potato with skin ,135.773,3.426,11.11,8.504,1.197,1.658,354.501
ASC212,Shepherd's pie (vegetarian),135.634,5.041,12.034,7.305,2.229,2.781,118.198
ASC213,Baked brinjal in tomato sauce,38.629,1.579,4.129,1.623,2.34,2.196,79.657
ASC214,Dum aloo,682.33,0.698,3.33,74.007,0.679,0.708,183.854
ASC215,Spinach paneer (Palak paneer),77.683,4.034,4.43,4.763,1.907,2.551,166.866
ASC216,Methi chaman,475.625,1.541,2.779,50.907,0.526,1.793,54.94
ASC217,Sarson ka saag,87.842,3.005,5.326,5.861,3.693,0.754,165.453
ASC218,Jackfruit sabzi (Kathal ki sabzi),625.4,0.689,3.4,67.596,1.024,2.589,58.948
ASC219,Avial,124.559,2.461,8.473,8.937,5.443,3.827,81.496
ASC220,Al yakhani,147.544,2.857,4.646,13.144,1.27,3.561,206.237
ASC221,Shahi paneer,156.496,5.064,6.641,12.341,1.402,5.014,215.345
ASC222,Paneer in butter sauce,145.608,6.987,9.702,8.809,1.498,7.487,151.448
ASC223,Methi malai paneer,194.978,7.341,8.15,14.759,1.472,6.001,221.16
ASC224,Chilli paneer,777.514,2.102,3.307,84.011,0.501,1.504,89.041
ASC225,Paneer makhana korma,775.816,3.242,4.632,82.758,0.21,1.841,77.007
ASC226,Kadhai Paneer,107.992,4.333,7.341,6.807,2.067,5.539,144.33
ASC227,Roghan josh,139.586,9.559,4.929,9.022,2.077,2.661,204.311
ASC228,Spinach mutton (Palak mutton),80.324,5.743,3.448,4.71,2.233,1.416,121.103
ASC229,Pea keema curry (Matar keema ki sabzi),133.003,8.433,6.24,8.138,2.96,1.818,148.376
ASC230,Keema kofta curry,154.454,9.77,5.645,10.388,1.507,2.138,311.511
ASC231,Kashmiri mutton koftas (Gushtaba),97.425,6.334,3.041,6.767,0.625,2.125,130.111
ASC232,Mutton yakhni,104.125,8.272,0.843,7.7,0.672,0.125,101.017
ASC233,Chicken yakhni,99.002,10.659,0.776,6.098,0.619,0.115,97.383
ASC234,Mutton do piaza,183.305,9.387,4.137,14.411,1.927,2.905,118.617
ASC236,Mutton chops,663.638,4.03,1.479,71.315,0.172,0.417,51.033
ASC237,Shammi kebab,685.691,4.517,3.537,72.608,1.05,0.315,54.274
ASC238,Scotch egg,676.892,4.051,1.908,72.623,0.358,0.296,90.674
ASC239,Shepherd's pie (with minced meat),142.777,7.449,8.058,8.878,1.046,1.699,197.247
ASC240,Chicken curry,129.224,11.795,3.378,7.569,1.406,1.791,108.005
ASC241,Tandoori chicken,145.199,16.264,2.336,7.933,0.505,1.584,158.002
ASC242,Butter chicken,137.003,10.924,3.745,8.7,1.324,2.37,26.212
ASC243,Chicken kebab,729.406,3.707,1.113,78.886,0.212,0.237,69.761
ASC244,Chilli chicken,198.834,9.572,2.859,16.563,0.993,0.93,223.746
ASC245,Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),125.032,11.478,2.507,7.61,1.133,1.156,107.563
ASC246,Fish curry (Machli curry),111.128,8.762,3.774,6.691,1.886,2.016,184.714
ASC247,Fried fish (Indian style) (Tali hui machli),658.544,4.345,5.405,68.88,0.607,0.395,156.936
ASC248,Fried fish and Chips (English Style) (Tali hui machli aur chips),651.749,3.36,2.77,69.694,0.285,0.169,72.733
ASC249,Tomato fish,489.788,2.394,3.177,51.908,0.716,1.35,91.468
ASC250,Baked fish with cheese sauce,113.962,8.637,4.064,7.022,0.076,3.217,209.475
ASC251,Fish tikka,117.331,15.997,3.907,4.149,1.178,1.181,503.437
ASC252,Tandoori fish,95.98,11.192,2.374,4.642,0.58,1.604,123.942
ASC253,"Paneer, apple and pineapple salad",95.08,3.884,8.348,5.068,1.647,6.363,176.631
ASC254,Russian salad,114.828,4.263,6.499,7.837,2.57,1.658,101.092
ASC255,Pasta salad,190.361,4.153,12.696,13.917,0.955,2.595,152.308
ASC256,Deviled egg,98.558,4.967,2.229,7.716,1.151,0.824,117.289
ASC257,Hawain salad,175.233,4.269,14.352,11.366,3.934,5.243,64.917
ASC258,Mixed pulse and vegetable salad,83.118,4.736,13.961,0.837,2.961,1.359,127.779
ASC259,Sprouted moong salad ,37.808,2.289,5.483,0.739,0.947,2.134,116.376
ASC260,Tossed salad,62.959,1.025,4.951,4.219,2.148,1.557,77.502
ASC261,Mixed vegetable salad with curd sauce,60.281,4.23,7.034,1.501,3.786,2.158,116.656
ASC262,Potato salad (Aloo ka salaad),89.908,1.397,11.189,4.397,1.321,3.939,125.011
ASC263,Waldroff salad,141.753,1.474,11.019,10.051,1.865,8.231,13.419
ASC264,Coleslaw,76.713,1.238,5.591,5.32,2.338,3.624,29.87
ASC265,Fruit salad (Phalon ka salaad),78.136,0.914,15.96,1.217,1.577,9.783,7.107
ASC269,Tomato onion raita (Tamatar aur pyaaz ka raita),59.005,3.736,7.081,1.842,0.975,5.977,165.207
ASC270,Peanut raita (Mungfali ka raita),150.388,8.59,9.3,8.98,1.89,7.106,235.833
ASC271,Sprouted moong raita ,60.895,4.623,6.127,2.187,0.159,5.589,189.202
ASC272,Bottle gourd raita (Ghiya/Lauki ka raita),56.308,3.978,5.76,2.066,0.853,5.248,188.37
ASC273,Cucumber raita (Kheere ka raita),59.125,4.037,6.35,2.076,0.86,5.219,189.965
ASC274,Carrot and spinach raita (Gajar aur palak ka raita),56.826,4.005,5.835,1.985,1.394,4.931,180.791
ASC275,Mint raita (Pudinay ka raita),77.585,5.638,7.645,2.964,0.344,7.485,274.378
ASC276,Potato raita (Aloo ka raita),75.38,4.221,10.239,2.04,0.75,5.079,183.367
ASC277,Boondi raita,687.719,2.194,3.962,73.827,0.46,1.878,99.183
ASC278,Sweet raita (Meetha raita),99.243,3.24,17.931,1.779,1.02,15.36,42.984
ASC279,Dahi vadas/Dahi bhalla,667.726,2.961,5.486,70.403,0.965,1.775,78.999
ASC280,Gunjia,667.342,2.982,5.677,70.277,1.135,2.049,77.897
ASC281,Saunth/Sonth chutney with tamarind/imli,141.526,1.012,33.551,0.154,0.934,31.312,244.376
ASC282,Rice kheer (Chawal ki kheer),75.026,2.297,10.049,2.972,0.173,8.018,16.236
ASC283,Makhana kheer,107.849,3.31,12.879,5.004,0.115,11.54,23.4
ASC285,Vermicelli kheer (Semiya/Seviyan ki kheer),120.069,3.355,15.874,4.997,0.496,12.791,22.521
ASC286,Semolina kheer (Suji/Rava kheer),113.211,3.427,15.882,4.204,0.507,12.881,22.659
ASC287,Paneer kheer,105.305,4.527,10.029,5.372,0.068,9.866,23.813
ASC288,Cabbage kheer (Pattagobhi ki kheer),83.509,2.87,9.73,3.797,0.511,9.282,22.668
ASC289,Carrot kheer (Gajar ki kheer),85.35,2.806,10.091,3.852,0.734,9.633,28.54
ASC290,Cauliflower kheer (Phoolgobhi ki kheer),81.954,3.038,8.783,3.952,0.552,8.491,25.195
ASC291,Moong dal kheer,77.157,2.952,9.894,2.974,0.395,7.919,16.336
ASC292,Phirni,116.117,3.487,16.108,4.344,0.358,10.788,22.471
ASC293,Semolina halwa (Suji ka halwa),225.648,2.164,24.666,13.382,1.856,13.976,1.279
ASC294,Shahi suji halwa,382.344,3.48,44.437,21.725,2.962,27.209,2.184
ASC295,Carrot halwa (Gajar ka halwa),172.641,3.112,18.533,9.732,2.653,16.853,39.956
ASC296,Egg halwa (Ande ka halwa),299.744,7.854,39.589,13.413,0.488,37.855,83.044
ASC297,Potato halwa (Aloo ka halwa),151.664,1.526,29.176,3.485,1.642,17.421,4.229
ASC298,Pumpkin halwa (Kaddu ka halwa),190.274,1.326,27.605,8.809,2.97,26.636,8.091
ASC299,Moong dal halwa,349.803,8.351,40.226,17.679,2.648,25.59,11.189
ASC300,Caramel custard (steamed),121.578,4.97,15.016,4.869,0.0,14.983,43.569
ASC301,Baked custard,106.526,5.413,9.454,5.303,0.0,9.418,47.127
ASC302,Soft Custard (stirred),109.182,5.013,11.19,5.066,0.0,11.154,122.172
ASC304,Chocolate ice cream,177.704,4.469,15.409,11.246,0.0,15.329,36.788
ASC305,Mango ice cream,125.686,3.403,11.135,7.618,0.515,11.009,29.132
ASC307,Fruit Ice cream (Phalon ka Ice cream),171.461,4.373,16.051,10.381,0.332,14.03,38.783
